Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
1.890311348592523188e+01,1.881095449332226366e+01,-8.206094240783606608e+00,4.079841695921608391e+00,1.288440692109475805e+01,1.466181991249886885e+01,0.000000000000000000e+00,1.287599561409999005e+01,-1.744423216208714988e+00,1.291458883772609667e+01
2.265863755111261213e+01,2.077625001748346989e+01,7.579137378270815795e+00,4.593999483150282614e+00,1.242236134183663587e+01,2.159373777783859438e+01,0.000000000000000000e+00,1.605339688552978927e+01,-3.671625846350558664e+00,1.665447536587584665e+01
1.238369402417486498e+01,2.401332666956610851e+01,8.643329183932584314e+00,6.231637767691291074e+00,1.535288721411342427e+00,1.762301581235972492e+01,0.000000000000000000e+00,1.448857589417972669e+01,2.224241459725536885e+00,1.214757059973812225e+01
2.082540020063661856e+01,1.770922724656799829e+01,3.285532012422212933e+00,7.793010176542567002e+00,1.365805375788717235e+01,1.987553679011153562e+01,0.000000000000000000e+00,1.005897621193908087e+01,2.041766065063589597e+00,1.284612804531642638e+01
1.884312853114436948e+01,2.139628616695667418e+01,8.868050904661050282e+00,9.413045917917568062e+00,1.290105600855201828e+01,1.925723331580502773e+01,0.000000000000000000e+00,2.047356159839248235e+01,-8.647699894744894422e+00,1.850575525220448370e+01
1.895900487994880734e+01,1.261484094794638189e+01,1.278847049814634218e+01,7.696736041888470936e+00,7.741771725039810370e+00,2.125923349840844523e+01,0.000000000000000000e+00,1.590960603245733829e+01,-8.304817439536151369e+00,1.475328960068156370e+01
2.208298469469717062e+01,1.953807042113697534e+01,7.741839051197309196e+00,4.372553676762035657e+00,5.488038238658307755e+00,1.703245291092906655e+01,0.000000000000000000e+00,1.664661711139105194e+01,-1.176515505464521105e+00,1.120180084542113264e+01
1.412146073585434713e+01,1.885066080670343425e+01,1.239984299525379363e+01,5.811989955158358256e+00,4.651580385088488256e+00,2.378921837998122868e+01,0.000000000000000000e+00,1.597559065919568688e+01,1.682918883419213529e-01,9.512328267670394411e+00
1.375794069358446237e+01,1.954395235154079558e+01,9.318800769894815872e+00,3.040309873185337963e+00,5.482079561369466170e-01,3.651089909992992233e+01,0.000000000000000000e+00,1.411062797613836928e+01,-1.339558106243995850e+00,1.330331580164093275e+01
1.589229837097367160e+01,1.367926575064266359e+01,3.010103353660655401e+00,7.506522499549589611e+00,3.797190134177284904e+00,3.694364949983157231e+01,0.000000000000000000e+00,1.320781354307551503e+01,2.164732834008311180e+00,1.960223466471199671e+01
