Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-1.300125832228157385e+01,-1.305191203276285883e+01,-6.499009835562786108e+00,-1.265320741546590533e+01,-1.262089388606450768e+01,-9.875328799408297442e+00,-3.604365338911715355e+01,-1.186681270104499752e+01,-1.261698566922959763e+01,-1.315343428884068189e+01
-1.270670324069749846e+01,-1.279256856018930577e+01,-6.901651150952043068e+00,-1.254447405013065975e+01,-1.246428888379132260e+01,-1.023256548783733777e+01,-3.604365338911715355e+01,-1.172839121153965003e+01,-1.257547062511089564e+01,-1.302479009391913145e+01
-1.270746804697363430e+01,-1.281019694529330977e+01,-6.820011047014546079e+00,-1.272836367676859304e+01,-1.237142010176360429e+01,-1.025488425841977858e+01,-3.604365338911715355e+01,-1.178472725734966886e+01,-1.255851905564917281e+01,-1.288840679788998500e+01
-1.268004649102773662e+01,-1.292269094661551243e+01,-6.455619192397132444e+00,-1.235645854470319449e+01,-1.231300173166036949e+01,-1.052184882068460325e+01,-3.604365338911715355e+01,-1.159588043044943895e+01,-1.227976311097305384e+01,-1.272729927318832921e+01
-1.236836365125473058e+01,-1.265059719065591715e+01,-6.041087686696943848e+00,-1.210437120517559784e+01,-1.234189364630881158e+01,-1.071180452490341395e+01,-3.604365338911715355e+01,-1.149988930445613811e+01,-1.250799007156862430e+01,-1.279059913156719652e+01
-1.230363894379832779e+01,-1.287035457444968856e+01,-5.535573243722959447e+00,-1.209934273491396262e+01,-1.218629839687895355e+01,-1.085210544438766611e+01,-3.604365338911715355e+01,-1.169861937328650292e+01,-1.215821873252975216e+01,-1.283211731960598456e+01
-1.256029246386349740e+01,-1.258969863895130992e+01,-5.719804997997646190e+00,-1.184132275394447653e+01,-1.205299468367284632e+01,-1.137813439363669765e+01,-3.604365338911715355e+01,-1.153177287624593994e+01,-1.205805705609546408e+01,-1.288947997501293941e+01
-1.232467638433963764e+01,-1.252798383841318142e+01,-6.135161494766644630e+00,-1.114929278178980709e+01,-1.203583593123341444e+01,-1.119971359031237057e+01,-3.604365338911715355e+01,-1.155751985097393941e+01,-1.175316873800769990e+01,-1.278775071276364628e+01
-1.231810310892471350e+01,-1.270879922241860527e+01,-6.594676029499491499e+00,-1.153636979839030197e+01,-1.185435046710854934e+01,-5.927088330256605531e+00,-3.604365338911715355e+01,-1.172599790242270323e+01,-1.204719259745178128e+01,-1.254148341824838297e+01
-1.227755513227384832e+01,-1.259356149905492828e+01,-6.797475916081484826e+00,-1.161948152301133419e+01,-1.174516979553883189e+01,-5.460824322481117932e+00,-3.604365338911715355e+01,-1.168192971431911609e+01,-1.187695332080105715e+01,-1.238541966817272488e+01
-1.240149923896059114e+01,-1.248382519845752014e+01,-7.921818665300162543e+00,-1.147394201176047623e+01,-1.190399352748452344e+01,-6.485822488861125557e+00,-3.604365338911715355e+01,-1.171983301080635975e+01,-1.181509483937537830e+01,-1.238625984552337833e+01
-1.155038756755813623e+01,-1.242029455043906871e+01,-8.144723193188815102e+00,-1.137166869864598873e+01,-1.197543933959475204e+01,-8.310493067557322533e+00,-3.604365338911715355e+01,-1.146751525282195772e+01,-1.211746091365672306e+01,-1.236440954426907446e+01
-1.204021967851677921e+01,-1.255410487680695653e+01,-8.300019900116332394e+00,-1.078886648566588313e+01,-1.167206123304302778e+01,-4.714864184267280045e+00,-3.604365338911715355e+01,-1.154702252204851654e+01,-1.203030004497835925e+01,-1.237205217409398372e+01
-1.215757929772404466e+01,-1.249224403186242327e+01,-8.094812619787479235e+00,-1.105996328263663386e+01,-1.146922716082805138e+01,-4.342178289753279685e+00,-3.604365338911715355e+01,-1.156354001541647847e+01,-1.200100255994987286e+01,-1.235351827347514408e+01
-1.206095270929901453e+01,-1.232379839740402261e+01,-8.092915550198974017e+00,-1.080672518893616108e+01,-1.086406225708525675e+01,-4.779081336261485902e+00,-3.604365338911715355e+01,-1.155651831969479382e+01,-1.177562474069389609e+01,-1.207531869417647741e+01
-1.186769993103565390e+01,-1.236767083585086269e+01,-6.357276168273637396e+00,-1.117004865613371045e+01,-1.098968613630540325e+01,-4.623579782332336130e+00,-3.604365338911715355e+01,-1.166416439522083870e+01,-1.189660939042059518e+01,-1.215714841745892194e+01
-1.198386059299019379e+01,-1.238366838317436347e+01,-6.174934158725041478e+00,-1.118441991092016430e+01,-1.088757901097322467e+01,-4.541587905663522662e+00,-3.604365338911715355e+01,-1.160805765785734422e+01,-1.175812901704440172e+01,-1.215906795607203428e+01
