Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
3.731954150216399757e+00,6.472716526707839257e+00,9.134456054125170255e+00,1.641452912785514684e+01,1.543376568793862980e+01,1.696593642290920201e+01,0.000000000000000000e+00,4.461637066471387136e+00,-2.399642510999422385e+00,-8.495600647894846480e-01
1.106701687710827819e+01,1.537313706645071498e+01,1.864791934943503904e+01,1.056140026245879149e+01,1.171211248111236358e+01,2.037769594837559950e+01,0.000000000000000000e+00,1.748308614130642979e+01,2.408019455194017888e-01,1.112188816661792323e+01
3.419459065446136314e+00,1.011770085463422753e+01,2.544586725151028617e+01,1.801851613491408344e+01,5.880806954043189094e+00,9.552074136154010020e+00,0.000000000000000000e+00,1.562887187975592518e+01,1.143973112985138307e+01,1.154532791589977769e+01
4.964129198180977198e+00,1.352876418453173279e+01,2.567616250944142919e+01,2.616679445668395942e+01,1.408853406241763295e+01,1.928602309835789796e+01,0.000000000000000000e+00,1.613703192077311144e+01,1.930782450039432874e+01,9.767030074330753209e+00
5.298929578552331598e+00,1.349216849240090355e+01,1.580910867070329928e+01,2.140091769287900902e+01,9.400122854234819414e+00,1.424821941470051812e+01,0.000000000000000000e+00,1.455548796053157545e+01,9.920146513994012594e-01,1.503413360598398185e+01
1.235980303790516288e+01,6.958003824377130719e+00,1.666627834312682666e+01,2.455103486362816412e+01,1.861514528986264949e+01,1.581204062043466152e+01,0.000000000000000000e+00,1.635662301243962702e+01,6.251385682010674572e+00,-1.714294113798702446e+00
6.438065473320806475e+00,1.083287413515867748e+01,1.581460067745284448e+01,2.925067231872432671e+01,1.860255585081911889e+01,1.143275392633850274e+01,0.000000000000000000e+00,1.297531456670738947e+01,1.566996420637014431e+01,1.805735319477172851e+01
1.259320244474411510e+01,1.211782778114265469e+01,8.637887356648262127e+00,1.998347503784524548e+01,7.408870344413117870e+00,1.837330465092506415e+01,0.000000000000000000e+00,1.014201624901126308e+01,1.301329321505305892e+01,4.776550540338393880e+00
7.650248296028911099e+00,9.878206301880338103e+00,9.357340393747605845e+00,2.074637246247601041e+01,1.432635839790823873e+01,1.633004000263685640e+01,0.000000000000000000e+00,1.016362311331315560e+01,1.039404286582074199e+01,9.969994686084415747e+00
1.137975994732311236e+01,1.471850410571606371e+00,1.622370287743505557e+01,2.769596820647374358e+01,1.148377235597411961e+01,2.706632945547566393e+01,0.000000000000000000e+00,9.450145148427068875e+00,9.953606157022546697e+00,1.238482840630036108e+01
8.406194579089262930e+00,8.379410009753662791e+00,1.805047581113118937e+01,2.457871879780104507e+01,6.223666088443652988e+00,3.604953729547736430e+01,0.000000000000000000e+00,1.209040708937097541e+01,1.595988654846752297e+01,1.805988679320392087e+00
1.375575131936963835e+01,1.454957474770401227e+01,1.752196964917429511e+01,2.184871353091710589e+01,1.551938420717880085e+01,2.769815124173661403e+01,0.000000000000000000e+00,1.989386732362781629e+01,1.016981753898710217e+01,1.270214220417508777e+01
9.167911637557871529e+00,1.383292947445227838e+01,2.797022411942873532e+01,2.751166106065833361e+01,1.956603513939169758e+01,3.903658931248147468e+01,0.000000000000000000e+00,5.284857070903902887e+00,7.415463652155271923e+00,9.882215436237455464e+00
7.446104008933683183e+00,1.004307000301923836e+01,2.155345835557270107e+01,2.982735345931356008e+01,1.746731844037887527e+01,2.235113593555880840e+01,0.000000000000000000e+00,1.546647540818049116e+01,1.447465412091541026e+01,9.261150560318933245e+00
6.340325217607353459e+00,7.642411502024275549e+00,2.706908112932551802e+01,2.945985966746228613e+01,1.391458460720010137e+01,6.252896114672423344e+00,0.000000000000000000e+00,2.111701595499081563e+01,1.210613144645527051e+01,1.229891126375408028e+01
4.035494274416278615e-01,2.539550370183579098e+00,1.537518229625964139e+01,2.747175167011189956e+01,1.258374662477235439e+01,3.947966915878302530e+01,0.000000000000000000e+00,1.915281104109187282e+01,-2.465935554858511569e+00,1.235101572374135870e+01
6.932727485530540079e+00,1.751009584500620520e+01,2.484855023857517864e+01,2.532851335521817404e+01,1.137852983035389620e+01,2.476482183760088418e+01,0.000000000000000000e+00,1.632312552180635734e+01,1.001803382414329491e+01,1.902438509775075559e+01
1.035643595417636575e+01,1.449872419338664997e+01,3.764250034337180040e+01,1.523237438117760334e+01,3.124905284106724301e-01,2.379911178251559534e+01,0.000000000000000000e+00,2.275127415239564144e+01,1.402076227593669522e+01,1.705005821915563757e+01
6.593053577732730375e+00,2.374826389476566391e+01,3.343615710467842916e+01,2.021069538426599621e+01,1.294937070085798325e+01,3.909018543554946490e+01,0.000000000000000000e+00,2.306377326752353341e+01,2.457387899443084223e+01,2.192336252717230849e+01
1.065897905948406255e+01,1.360116102443986286e+01,6.453756382547257253e+00,2.292970488023897957e+01,2.634312790614758271e+01,1.836531619246333236e+01,0.000000000000000000e+00,1.678727531776209858e+01,1.833382584277238081e+01,2.230831303166009150e+01
9.930447524296047490e+00,2.224937513322920424e+01,2.733711624469004420e+01,2.992653915877943049e+01,1.393869536999029357e+01,1.753362958623847589e+01,0.000000000000000000e+00,5.097013859988319240e+00,1.756039477272321392e+01,2.376633099188573439e+01
-3.079305413742592853e-02,2.487637991377741642e+01,3.427955085940097746e+01,2.442489119940157849e+01,1.735994841289252832e+01,1.602029155495705126e+01,0.000000000000000000e+00,8.610545136667745680e+00,1.561263261116636158e+01,2.609703604344533190e+01
3.440756197210065537e+00,8.931907623745766855e+00,1.457965572923647457e+01,1.828022599303876206e+01,1.403210986628206669e+01,-1.907271970810468620e+00,0.000000000000000000e+00,1.529111091176506676e+01,1.993614005337904516e+01,3.423327574076360946e+01
1.376220639225763520e+01,1.534242841714185879e+01,2.317642552046183724e+01,2.054965837276218465e+01,1.326835268342936480e+01,1.429377372616992581e+01,0.000000000000000000e+00,8.708074943353695474e+00,1.621949707241670424e+01,3.338625054447256701e+01
1.236944062151984802e+01,1.577295960267232822e+01,3.267541676442656495e+01,1.730301908918681519e+01,1.106915059409173097e+01,1.551416728363791186e+01,0.000000000000000000e+00,1.347242776155183108e+01,1.634276450904583200e+01,2.588710887404111105e+01
1.566036214271691840e+01,1.711007682815738207e+01,2.358216763937989313e+01,1.383126756327604312e+01,1.147325219971418697e+01,2.708590060316939585e+01,0.000000000000000000e+00,2.688649471241738098e+01,7.376753917196034571e+00,2.970981191040561953e+01
1.637767173416162692e+01,1.726400829763565881e+01,2.953134494428755019e+01,1.232450176080812376e+01,1.128623733362078063e+01,1.451906483755136712e+01,0.000000000000000000e+00,2.203059013167358415e+01,2.087732891014450942e+01,2.562518089343300787e+01
5.506447676287173465e+00,1.917731706485735188e+01,3.809494656483322927e+01,1.384687176473368453e+01,1.792974651241405581e+01,1.230765891031311909e+01,0.000000000000000000e+00,2.172751803606516319e+01,1.122400565317968635e+01,2.461481261279590882e+01
1.361150926653537319e+01,6.536807201653432209e+00,2.435086631001101765e+01,1.430250624629042022e+01,3.914924484911755709e+00,1.212545715665585178e+01,0.000000000000000000e+00,1.482165095837761370e+01,1.812157206053073111e+01,2.943265705660107301e+01
1.614718655693257432e+01,1.583136663117386611e+01,1.978492222156036462e+01,6.620527681293333799e+00,1.904091889912581337e+01,1.287073107443246478e+01,0.000000000000000000e+00,7.715296304156447071e+00,1.118003466159969328e+01,4.137087710022664311e+01
1.267254352565991482e+01,1.111551630313969419e+01,3.610907322761802618e+01,1.481169772576514632e+01,9.057967072601298852e+00,1.774202571797115979e+01,0.000000000000000000e+00,1.017973208605178037e+01,5.067085618772097177e+00,3.111549374537496959e+01
1.129780524687610033e+01,1.330301548537267209e+01,3.661488346083182677e+01,7.939658770329662829e+00,7.284320384664018100e+00,2.260839188631340591e+01,0.000000000000000000e+00,1.359351426999489476e+01,6.754767807542761737e+00,2.322503540279060630e+01
1.511490949013938589e+01,1.743713819362265482e+01,2.501498582357003997e+01,2.833151346794351433e+00,7.634719912288877808e+00,1.672712933777401645e+01,0.000000000000000000e+00,8.269710764031346528e+00,1.409889963207858621e+01,1.482667318836717740e+01
1.749539157424466396e+01,1.594709194066675728e+01,2.648023619193489608e+01,9.952878070026063284e+00,2.069314676211766368e+01,1.281562865377461691e+01,0.000000000000000000e+00,1.995639835858840172e+01,1.674956031743252538e+01,2.369146489280811352e+01
2.268410354579840060e+01,1.859663033704792667e+01,1.696053443308946740e+01,3.554796321480519161e+00,1.215125233750698897e+01,1.371181613023284385e+01,0.000000000000000000e+00,1.523951838762533662e+01,1.882277789682036939e+01,2.595632556054525963e+01
5.657058985177011223e+00,1.942860797791753669e+01,1.242263034285781487e+01,8.450650735861419349e+00,1.318131160209886410e+01,2.043932393094254607e+01,0.000000000000000000e+00,1.950183023026984586e+01,1.393768159502740112e+01,2.773891332559895417e+01
1.039552585444155142e+01,1.340684036788778855e+01,2.169574204176923615e+01,-2.374244421666119820e+00,2.032199949175622322e+01,2.836224203976626512e+01,0.000000000000000000e+00,2.004400351204974839e+01,1.318709413997563118e+01,3.386006132667619539e+01
1.047885796213045317e+01,1.243052158918590777e+01,2.177039651186964164e+01,1.300227685897574537e+00,1.580196140611743694e+01,9.751499873024977560e+00,0.000000000000000000e+00,1.757969950438340589e+01,1.679634561199938858e+01,3.311718160247323084e+01
7.311136164015134220e+00,1.641715721697456232e+01,1.479478794507204498e+01,7.834647574129006919e+00,1.425216166084743996e+01,1.578862347420959544e+01,0.000000000000000000e+00,1.517932116694920985e+01,1.036553999848222496e+01,2.333322497440895660e+01
6.548151789933621458e+00,1.824346209434107990e+01,3.193420782438939298e+01,2.241721206585581072e+01,1.590752201918413711e+01,1.600307347721132345e+01,0.000000000000000000e+00,3.083593543344512522e+00,1.417886786874581162e+01,1.514444344767973227e+01
1.726529918514684425e+01,2.064113303418898226e+01,3.247101736476610512e+01,1.165730905369568582e+01,2.089061473400029811e+01,3.102433140907795206e+01,0.000000000000000000e+00,7.422583062188321534e+00,1.592452239335161401e+01,1.661497999557731831e+01
1.047747059092079880e+01,1.249207764012911603e+01,3.722991584436131518e+01,8.291912840233633730e+00,8.789579509230076582e+00,1.087600574266058295e+01,0.000000000000000000e+00,4.854562710603631537e+00,1.600062920168396374e+01,2.657461666343442985e+01
1.360759532421829676e-01,1.239656599856883723e+01,1.452126384955724525e+01,3.801168525500654205e+00,1.340650589970672613e+01,2.389753175691177134e+01,0.000000000000000000e+00,1.773758847999654886e+00,1.709026178403119545e+01,2.376185448514103271e+01
1.593047342428768864e+01,1.342507261036831423e+01,1.385833027232000347e+01,2.550226275292588607e+00,8.066800394279027842e+00,3.067773318424222140e+01,0.000000000000000000e+00,-3.556823888965065628e+00,1.892383199101433888e+01,1.417312417005464553e+01
2.001713340271973962e+01,1.423147310471261839e+01,1.806256859470056142e+01,8.681731651406258132e-01,1.695066884332451806e+01,4.746793823900190290e+01,0.000000000000000000e+00,-9.111651315161420905e-01,2.163733432203183682e+01,2.094135216255424936e+01
2.371668188990398107e+01,1.781318785475581734e+01,1.575919395895598818e+01,9.301845392121862233e+00,1.436074580038823356e+01,2.592868909793764587e+01,0.000000000000000000e+00,-1.254935366043268097e+01,1.611942391854086054e+01,1.668363113820453947e+01
