Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-4.412997013344496899e+00,-6.158701724544805245e+00,-5.530915676681614102e+00,-2.795340829950545114e+01,5.724939072270895934e+00,-1.752037240703624832e+01,3.072791695244254868e-13,-1.083790908978997258e+01,-2.427046026774972276e+01,-1.250587966214396651e+01
-1.109012543290822883e+01,-1.234370713789265750e+01,-1.507866928767267289e+01,-1.934526152712128066e+01,-1.029425736169440242e+01,-2.100641641837062679e+01,3.072791695244254868e-13,-9.344754708474432903e+00,-3.308734817853799370e+01,-1.236376485343691378e+01
-6.154177063733729192e+00,-1.461992266724931255e+01,-1.172041477040107971e+01,-1.416699821866386699e+01,-1.074999677933983300e+01,-2.446814977415991876e+01,3.072791695244254868e-13,-2.271255039037285783e+01,-2.206531961742816250e+01,-1.003455011864180868e+01
-1.570798117621806433e+01,-1.171818151018910115e+01,-2.388255331678688975e+00,-3.719179450029738820e+00,-3.357126849992079443e+00,-2.668102736406405384e+01,3.072791695244254868e-13,-3.183129522822638080e+01,-2.052212059806604927e+01,-1.011012334734978069e+01
-1.594932927591560379e+01,-1.994268236682328777e+01,-7.235115293687993443e+00,-1.108494881882496763e+01,1.854909617407210165e+00,-1.743421628846879656e+01,3.072791695244254868e-13,-2.440904835578795229e+01,-1.778453944933990272e+01,-2.056587477343366643e+01
-1.452386324854422917e+01,-1.981849548900409275e+01,-6.830847646991175637e+00,-2.247753732103285529e+01,-6.321510194465129295e+00,-1.705816635563261841e+01,3.072791695244254868e-13,-2.322105913901828700e+01,-2.840496933109479727e+01,-1.975857115405091591e+01
-1.298570405616990975e+01,-1.349398805142287827e+01,-3.813787781965526147e+00,-2.085790611590111254e+01,-7.007711504000386782e+00,-2.257843382494936435e+01,3.072791695244254868e-13,-2.031674953364875691e+01,-2.240386792496575197e+01,-1.025870115700612573e+01
-1.509622070733943922e+01,-2.077612998604033123e+01,-1.957032687925707393e+01,-2.319426933891896070e+01,-1.020902552877161540e+01,-1.271116789056346619e+01,3.072791695244254868e-13,-1.976794074247954569e+01,-2.601075017652048160e+01,-1.840946727319537146e+01
-3.417223768019918140e+01,-1.173575405854109732e+01,-9.641146700822792681e+00,-8.084133825237454829e+00,-3.360197540236250280e+00,1.228219778986464616e+00,3.072791695244254868e-13,-2.763493084140684530e+01,-2.720097399346616740e+01,-5.349301687153835694e+00
-3.114329548547648940e+01,-1.232032759693327861e+01,-1.226648143067059493e+01,-7.963810429284984949e+00,-6.924621594529333457e+00,3.692964170350714337e+00,3.072791695244254868e-13,-1.404073813591948472e+01,-2.220548379451438592e+01,-1.983704106568545456e+01
-2.456918421374014017e+01,-7.115918237496294374e+00,-1.349321284084244255e+01,-1.986628574746405462e+01,-1.801860418342386438e+01,-1.772552362036424967e+01,3.072791695244254868e-13,-7.618956087016300671e+00,-2.573992359090013338e+01,-2.016126737699692839e+01
-3.877216344887099808e+01,-1.173616143583164195e+01,-1.352149115805524815e+01,-9.983914794922425173e+00,-9.947402646907553603e+00,-2.353914848775870539e+01,3.072791695244254868e-13,-2.122782474496552041e+01,-2.421859764849805075e+01,-2.002748018360925641e+01
-1.662567210572543175e+01,-1.454719510544370742e+01,-1.216428021848383390e+00,-1.825965415395656422e+01,-6.385936866814576618e+00,-4.632518840803587779e+01,3.072791695244254868e-13,-3.162984124000743691e+01,-2.637373739844608878e+01,-2.501607705018414762e+01
-5.205248514734723386e+00,-1.009999847962493114e+01,-3.475774613731419826e+00,-2.134952231227903141e+01,-1.166947384146610567e+01,-2.852068390352350846e+01,3.072791695244254868e-13,-2.262058449762189127e+01,-2.601900158998644130e+01,-2.024581165395735383e+01
-1.545700866037364740e+01,-1.553828916487597134e+01,-2.494990030265550374e+01,-2.085677096342427106e+01,-6.529902692985237955e+00,-3.247346266156347383e+01,3.072791695244254868e-13,-1.690300640727632953e+01,-2.560757162814933707e+01,-1.908742724232573806e+01
-2.389645921226864900e+01,-1.880166447155891518e+01,5.003062793360700589e+00,-2.363669276670386665e+01,-1.250348270557690356e+01,-1.561715656294920151e+01,3.072791695244254868e-13,-1.543148919981611122e+01,-3.329370685387711148e+01,-2.094714493301875891e+01
-9.248451768174099641e+00,-1.415675589395976708e+01,-7.052363995153991816e+00,-1.452626429465785485e+01,-1.691789642099712765e+01,-3.204535039343866742e+01,3.072791695244254868e-13,-1.090196358426145196e+01,-3.311790573748614719e+01,-1.170670687125094922e+01
-8.777291812414066641e+00,-4.803304331926340431e+00,-4.816033263045800261e+00,-2.770879922068303358e+01,-1.504935256388478315e+01,-2.120114743390767131e+01,3.072791695244254868e-13,-1.687017510564663780e+01,-2.524276588437654212e+01,-1.278708713668066643e+01
-1.078150642695306871e+01,-1.966671233416770903e+01,-6.052323200304287276e+00,-2.622163498672763993e+01,-2.154263641314813427e+01,-3.494464365973963282e+01,3.072791695244254868e-13,-1.638244567279284425e+01,-9.329865750831013216e+00,-9.315451929080516891e+00
-1.671222714402867027e+01,-1.902555994419644847e+01,5.551329794280554175e+00,-2.580624561436679443e+01,-1.157383166664284424e+01,-2.472303069447148971e+01,3.072791695244254868e-13,-1.566233855965824162e+01,-2.235679146688303121e+01,-2.338894891395984743e+01
-8.441778410393048659e+00,-1.493435649990371372e+00,-1.355073731547878602e+01,-1.956888480249168083e+01,-2.417683916607905559e+01,-3.323654518414146963e+01,3.072791695244254868e-13,-2.860089137499668865e+01,-2.197491573518771801e+01,-2.154288065466328561e+01
-2.450351861211396098e+01,-1.198494041707584223e+01,7.115521686898531151e+00,-1.920881036470870740e+01,-1.944188152818540161e+01,-1.464416967607027154e+01,3.072791695244254868e-13,-2.093532302140912194e+01,-1.721307565655262195e+01,-2.142144787466157752e+01
-3.024384497061036825e+01,-2.457885813665704333e+01,9.369989851392437785e+00,-2.119205232609440515e+01,-1.316072257682019320e+01,-8.294670914769284309e+00,3.072791695244254868e-13,-2.927749843261640095e+01,-2.789735497710539747e+01,-2.179906064539751398e+01
-2.464694295982436500e+01,-1.879007117511971714e+01,2.222376055063721711e+00,-3.036871680051094202e+01,-1.147370631048003098e+01,-2.114304280420742543e+01,3.072791695244254868e-13,-1.810257981096766855e+01,-2.632478050824470373e+01,-2.529008190674925771e+01
-1.301292731826245586e+01,-1.764448637264914765e+01,-2.715216268639179642e+00,-3.337499967189481254e+01,-1.935069020454110600e+01,-2.355645897570041924e+01,3.072791695244254868e-13,-1.514119342044467054e+01,-2.329419053412654961e+01,-3.585770657021868146e+01
-1.727903389984048488e+01,-1.261682278683357517e+01,3.888396927238405354e+00,-2.526111547420267556e+01,-1.439096318138818020e+01,-2.643793211947738087e+01,3.072791695244254868e-13,-2.033356177737474724e+01,-4.013135841765836886e+01,-1.040380786620241516e+01
-2.156922420771666893e+01,-1.301531755873108409e+01,-4.363791847084963926e+00,-3.348528643526821469e+01,-1.330532792410349785e+01,-1.886826631681478617e+01,3.072791695244254868e-13,-1.986180936494539040e+01,-2.522443220038526235e+01,-1.861747512275746175e+01
-2.553180104503830705e+01,-1.924970181661899105e+01,-1.530232227308506943e+01,-2.239498177357147668e+01,-1.296454010958067471e+01,-2.054699292867432803e+01,3.072791695244254868e-13,-1.374811655162180024e+01,-2.400561945918539308e+01,-4.617590941388290737e+00
-2.241413877111597586e+01,-1.486099254569444561e+01,-2.190841278193845554e+01,-2.499384869716112334e+01,-1.898073694025780256e+01,-3.741030583732519688e+01,3.072791695244254868e-13,-2.275661251279961661e+01,-2.808654151863090220e+01,-1.943712939440619536e+01
-2.356089868413824107e+01,-2.055191799771293404e+01,-2.209660472747733806e+01,-3.568098448786005150e+01,-1.305368239865890700e+01,-3.743050207037949662e+01,3.072791695244254868e-13,-2.318068585219013755e+01,-3.253022912937574063e+01,-3.474331168674925152e+01
-3.171854985751139466e+01,-2.088759011494133944e+01,-2.853537024807588551e+01,-2.681204742569479649e+01,-7.890177588579527779e+00,-2.600073521010232369e+01,3.072791695244254868e-13,-2.070392049463826822e+01,-3.599696657273132416e+01,-2.734628126168794182e+01
-3.365712724334225214e+01,-1.778827828252330789e+01,-3.177212099779331211e+01,-1.554105502561202456e+01,-1.859251444065098369e+01,-4.140624673707927172e+01,3.072791695244254868e-13,-2.875527065536320137e+01,-3.077608906541616918e+01,-2.302563885136861543e+01
-2.787629758143975067e+01,-2.367297635683516788e+01,-3.996975100967024019e+01,-2.136450833124478166e+01,-1.778542355285393484e+01,-3.500628368454560047e+01,3.072791695244254868e-13,-2.947900992099693340e+01,-3.034262993626181526e+01,-8.039516365763525130e+00
-3.054412226079033843e+01,-1.654378930261283642e+01,2.044383421822774938e-02,-9.541288514087355566e+00,-1.808846625588834911e+01,-2.780698704255300413e+01,3.072791695244254868e-13,-4.072038381070203172e+01,-2.262586303868863169e+01,-2.029315730476146484e+01
-1.906885099372938441e+01,-1.177084886284348109e+01,-1.286788957826477819e+01,-2.529734692276084118e+01,-2.417676757215185290e+01,-2.599540396635864425e+01,3.072791695244254868e-13,-3.313144398440147143e+01,-2.298481486464869050e+01,-1.952857097480766768e+01
-1.729377810199154197e+01,-1.600239166880060893e+01,-2.763554048069186209e+01,-2.667052840539502512e+01,-6.099102551213337442e+00,-2.379226472912419155e+01,3.072791695244254868e-13,-3.996587584997407561e+01,-3.296008822375178937e+01,-2.157784645700906623e+01
-1.387003704120257375e+01,-7.635861475464766457e+00,-3.355156688028995404e+01,-2.854154846769927545e+01,-1.035536315244750227e+01,-3.358271306227527475e+01,3.072791695244254868e-13,-1.955365066468180046e+01,-2.322610692253064713e+01,-1.602151223029426674e+01
-1.059476292170461953e+01,-1.780636774149647295e+01,-2.743551928321219791e+01,-1.456586237676984474e+01,-1.987282059147519320e+01,-2.788727396959659544e+01,3.072791695244254868e-13,-1.061544581822632694e+01,-2.945629433320036838e+01,-1.693964548306912477e+01
-2.112960626083199500e+01,-1.044685708203680186e+01,-2.391348176397498193e+01,-6.917740804882925865e+00,-1.971792908085994256e+01,-4.270449835849365883e+01,3.072791695244254868e-13,-2.591202819104579547e+01,-3.041580970016546459e+01,-9.276658767175174347e+00
-2.143319855289702502e+01,-2.082397569235855173e+01,-3.245979610331184873e+00,-2.196090289982618415e+01,-4.570988898708049142e+00,-2.383984931632435078e+01,3.072791695244254868e-13,-1.213688537674372192e+01,-2.925449878889195077e+01,-1.170419755310063259e+01
-1.400579198366163425e+01,-9.923913743079546990e+00,-2.406236347027889266e+01,-2.082548479745431891e+01,-2.591195721857907941e+01,-4.404670430334162745e+01,3.072791695244254868e-13,-3.322696645455835807e+01,-2.900815502209832530e+01,-2.021531856544268635e+01
-9.581759810197747029e+00,-1.647575935169533068e+01,-1.456848585561336407e+01,-2.252510021015896413e+01,-2.609088143486214406e+01,-4.740957946173259074e+01,3.072791695244254868e-13,-2.522925494937551960e+01,-3.111455412218601069e+01,-4.553217273305727453e+00
-2.122632319532562661e+01,-2.464296137337593251e+01,-1.509582472602055070e+01,-1.357391732568779297e+01,-1.927602785066571300e+01,-3.575247779321109221e+01,3.072791695244254868e-13,2.789267805611990614e+00,-1.707512062163174349e+01,-1.976080631230060547e+01
-1.867751076762833407e+01,-1.505022719587549673e+01,-2.081842606475601798e+01,-1.546254587895145605e+01,-1.816765708331387685e+01,-3.040356997770757985e+01,3.072791695244254868e-13,-1.705620234361708398e+01,-2.057697585479413860e+01,-1.550855242634987086e+01
1.320876989103245691e+01,-1.340409748258562317e+01,-5.760246357373932646e+00,-1.876116545741888331e+01,-2.002304012530390764e+01,-1.159071725950331277e+01,3.072791695244254868e-13,-6.255873228757076632e+00,-1.254072590166478918e+01,-2.781997957643707409e+01
