Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-1.296669717754958739e+01,-7.247013500747518933e+00,-5.874960938668198906e+00,-1.566043976302433904e+01,-1.834317724410006889e+01,-1.161659288081304986e+01,-3.207631722481915547e-14,-1.100451904076708942e+01,-1.796311974367323927e+01,-1.857528642898391169e+01
-7.104130292073163488e+00,-9.019379159257796985e+00,-9.552289178041933226e+00,-1.646193736165126964e+01,-1.343821487058898434e+01,-1.064052134706973085e+01,-3.207631722481915547e-14,-1.313220334534213229e+01,-2.108476161787458025e+01,-1.004585502853540468e+01
-1.005479149044272624e+01,-6.295265940586580733e+00,-7.519158019560001627e+00,-1.493820188692398254e+01,-2.016301968899061237e+01,-1.037567901755245714e+01,-3.207631722481915547e-14,-7.683291144854010213e+00,-1.412163037678130806e+01,-1.281469825008720598e+01
-9.550077182251316188e+00,-1.002277456386676668e+01,-5.359696654166115515e+00,-1.310073170239992812e+01,-1.117949284942262089e+01,-8.101143811607954603e+00,-3.207631722481915547e-14,-1.222878844646516505e+01,-1.790954195581221597e+01,-9.164181911850581841e+00
-1.325357024096172331e+01,-6.556773256109006631e+00,-1.072750871301662556e+01,-1.758386286196574844e+01,-1.474012973800250315e+01,-1.076454464725764204e+01,-3.207631722481915547e-14,-9.741499401404647429e+00,-2.047448371968247827e+01,-7.714762646081647190e+00
-6.043955644576634256e+00,-1.092899162109963207e+01,-1.601343022506150859e+01,-1.897709954595844550e+01,-1.948621700150541258e+01,-8.415798445735408251e+00,-3.207631722481915547e-14,-1.012688956317260036e+01,-2.262752017375683522e+01,-9.883356676696617882e+00
-9.272426868075497097e+00,-7.866582518754570152e+00,-1.458105486738516099e+01,-1.957059528107795288e+01,-1.907941357988243780e+01,-9.257995555295510215e+00,-3.207631722481915547e-14,-1.455612723641510975e+01,-1.693425738591662366e+01,-9.637834078809000005e+00
-1.100455140499979656e+01,-9.146822039515328129e+00,-1.696842437558721173e+01,-1.713527798569262472e+01,-1.868428047692568938e+01,-7.860554958478109810e+00,-3.207631722481915547e-14,-1.436205265681403986e+01,-1.692419857956194207e+01,-1.238877831967296395e+01
-1.710663354200319830e+01,-4.864024308296420962e+00,-9.879219445605491146e+00,-2.176218175908195107e+01,-2.009272749746585163e+01,-1.131355358818085044e+01,-3.207631722481915547e-14,-1.386540174980882867e+01,-1.593672491865492624e+01,-1.234942935885777437e+01
-1.600535322024225238e+01,-1.247254228642877649e+01,-2.032207878153584701e+01,-1.722309742971686219e+01,-1.923047784840105834e+01,-9.433573613194173646e+00,-3.207631722481915547e-14,-1.531377277694564043e+01,-1.404205747481763034e+01,-8.302405983271691881e+00
-1.349742183746405466e+01,-1.168276953467650259e+01,-1.467584893886539632e+01,-1.745069522109286453e+01,-1.730836179726504653e+01,-9.695177342659281550e+00,-3.207631722481915547e-14,-1.473912920417191152e+01,-1.645694158895700809e+01,-1.636459162270789136e+01
-1.098735752132013488e+01,-1.101543531182204561e+01,-5.486480337158503140e+00,-1.896741572522178743e+01,-1.240083982671802332e+01,-8.666406074945761873e+00,-3.207631722481915547e-14,-1.037613508060914214e+01,-1.391902299308052271e+01,-1.170027828112738000e+01
-1.041484845255806846e+01,-8.597298424210611856e+00,-5.766510282530068920e+00,-2.157288233126135069e+01,-1.615309479491610389e+01,-3.152120995704751039e+01,-3.207631722481915547e-14,-1.576583264349074298e+01,-9.790850016900105146e+00,-1.273335644642606468e+01
-1.253359566652267709e+01,-7.140759678525778753e+00,-2.812275926464841813e+00,-2.072317425236459698e+01,-2.118181972325994522e+01,-1.784633143921305276e+01,-3.207631722481915547e-14,-1.569888892386598833e+01,-1.048457973357629136e+01,-1.004084602965167328e+01
-1.034157868995013629e+01,-7.890090598425916646e+00,-7.897291490360226263e+00,-2.311834151796664827e+01,-2.645888880684012889e+01,-2.723356483003826867e+01,-3.207631722481915547e-14,-1.433200255987354232e+01,-1.651045619750669857e+01,-1.522412002989969437e+01
-8.447837827566166524e+00,-8.009484793573660610e+00,-1.531412142055129344e+01,-2.175450063260935707e+01,-2.550996822780110307e+01,-1.423500737802027594e+01,-3.207631722481915547e-14,-1.371569438291304266e+01,-2.016924563624985822e+01,-1.231360508624608840e+01
-7.994286143346178264e+00,-8.008103891480891079e+00,-2.503144978578928104e+01,-1.955180664912669997e+01,-2.915323890988518585e+01,-1.358280778977633041e+01,-3.207631722481915547e-14,-6.374246409181988149e+00,-1.286253900117693050e+01,-1.058906612057163521e+01
-1.157682804622468709e+01,-3.204884285871632432e+00,-6.425730572170690991e+00,-2.004972963475413295e+01,-3.138010812352243306e+01,-9.924300435439516122e+00,-3.207631722481915547e-14,-1.045339814881999985e+01,-1.665009197644433669e+01,-1.117798283719396224e+01
