Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-4.939712736042486951e-01,-1.448419158934385820e+01,-2.807598821440578263e+01,-8.086773492319402123e+00,-1.003862801864452514e+01,-2.155884091821531356e+01,-2.059301670267279085e-13,-1.104359263454371032e+01,-1.285356394676317038e+01,-2.410445885794873178e+00
-9.769865331076102777e+00,-4.234172407326736831e+00,-3.523981058511930087e+01,-1.135161366123070614e+01,-8.211951626458944276e+00,-1.564250629980717378e+01,-2.059301670267279085e-13,-6.387729079712444857e+00,-2.125854876515690250e+01,-5.521278456674129309e+00
-1.118603665585948548e+01,-3.137069082213128635e+00,-2.324848646072348402e+01,-8.853373987380908972e+00,-8.139838268618836636e+00,-2.652094281627950423e+01,-2.059301670267279085e-13,-8.180773514458547169e+00,-1.273792422009854519e+01,-5.431865307485858274e+00
-1.666974471090475873e+01,-4.441715140448224908e+00,-2.237390415682260780e+01,-2.666082461418119109e+00,-1.455192292143933841e+01,-1.770762511719721743e+01,-2.059301670267279085e-13,-1.139166366555903664e+01,-4.497268876163881268e-01,-4.110302733266601116e+00
-1.408838468946447442e+01,-1.278397075344248002e+01,-2.586502566386936408e+01,-9.090740951012360682e+00,-1.531754468861149299e+01,-2.269324029761263617e+01,-2.059301670267279085e-13,-1.060837604026526826e+01,-1.729822069287631692e+01,-6.367940429066532460e+00
-9.884268410420901319e+00,-1.143972352918834190e+01,-3.744969462097852642e+01,-3.382862238754311690e+00,-4.986140566080395686e+00,-2.083258775804336693e+01,-2.059301670267279085e-13,-1.541939230069954192e+01,-1.374910390387466919e+01,-1.449548563446824723e+01
-1.953025646765918211e+01,-2.090503824937941957e+00,-2.519826881706950772e+01,-4.253881434071865364e+00,-6.461525267936176320e+00,-2.853566094063103620e+01,-2.059301670267279085e-13,-9.345014829555204017e+00,-4.283016439276319254e+00,-4.261921473403568861e+00
-1.378234366837990166e+01,-3.828555249067207900e+00,-4.553392035019008688e+01,-2.088760659179460433e+01,-1.148703731381515958e+01,-1.433773836721024608e+01,-2.059301670267279085e-13,-1.337637335633387181e+01,-5.653847044794391152e-01,-1.532641887315740625e+01
-1.525272117350525924e+01,-1.092608394747007061e+01,-3.435197730661636939e+01,-5.485940187751180197e+00,-7.612247735027090734e+00,-7.264758867627541861e+00,-2.059301670267279085e-13,-1.725212812943137308e+01,-9.006697799214355982e+00,-1.162580247949232692e+01
-8.918002584649711295e+00,-1.108793354921863994e+01,-3.476465127293032253e+01,-5.013559096430142858e+00,-8.740166394778624337e+00,-1.396236398155343927e+01,-2.059301670267279085e-13,-1.728917477770821165e+01,-7.279837951312862820e+00,-7.580196600260292072e+00
-1.263834925756070326e+01,-8.781620287909193578e+00,-2.347491726422094160e+01,-1.363218255669516310e+01,-1.131057381750094137e+01,-3.155535971930989803e+01,-2.059301670267279085e-13,-7.696429369460154213e+00,-2.865584689656361927e+00,-1.685658973796554250e+01
-1.703843173706604830e+01,-1.006982495648953169e+01,-2.737486982986095896e+01,-1.261905838932961643e+01,-1.184085731042225653e+01,-1.569043910478781889e+01,-2.059301670267279085e-13,3.445099975340198739e+00,-1.498315993292341375e+01,-1.565971253341607472e+01
-1.165410752021877450e+01,-4.192637352860631772e+00,-1.323980714217712595e+01,-1.565634547999553305e+01,-1.974198430934561932e+00,-3.412895918699759790e+01,-2.059301670267279085e-13,-1.780896987042707380e+01,-1.344361457818399863e+01,-1.211237733284330531e+01
