Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-5.469796113920038394e+00,-4.702887058584741986e+00,-8.797690027234024157e+00,-1.656314456881357700e+01,-9.497393981219984127e+00,-2.348062091868305501e+01,2.392679895532167191e-13,-8.679488677975927047e+00,-3.022401778940734118e+01,-1.268434164762515026e+00
-4.204273834470930282e+00,-6.011878252719479399e+00,-1.996697700553966115e+01,-1.511436522293837825e+01,-7.754809536764671662e+00,-9.889815741429217155e+00,2.392679895532167191e-13,-1.131834389367794635e+01,-2.608084539257035672e+01,-3.015005167903924921e+00
-1.295236522956844993e+01,-4.507152860577570586e+00,-2.676557399927105152e+01,-4.296050007834045559e+00,-1.383840521816689062e+01,-1.481433218140746177e+01,2.392679895532167191e-13,-1.199186725699695089e+01,-2.030226158997950847e+01,-7.622465250683564619e+00
-1.264199742338619004e+01,-6.793711819731262480e+00,-1.992663604342873285e+01,-1.041014989801411339e+01,-6.300276537852104397e+00,-1.474850845707388025e+01,2.392679895532167191e-13,-1.714058022090351230e+01,-2.213346426603611405e+01,-1.535352419130954260e+01
-1.445138643084563057e+01,-5.481041077209683365e+00,-4.864308188036210012e+00,-7.941704231468506237e+00,-7.609455066867673700e+00,-1.070445524417077898e+01,2.392679895532167191e-13,-1.417669394711518471e+01,-2.937892263811584215e+01,-6.837237253455821673e+00
-1.656506123176244571e+01,-1.285260305093213340e+01,-1.270299621479737162e+01,-9.253166890220724028e+00,-5.516325947873119695e+00,-1.821240050740034633e+01,2.392679895532167191e-13,-1.358167952150754942e+01,-3.414892985799111358e+01,-1.631202920580075855e+01
-9.522393320871257671e+00,-1.319504052231020985e+01,-1.680304590781487528e+00,-1.347475188792478029e+01,-7.226414827272434671e+00,-1.561333281366797188e+01,2.392679895532167191e-13,-1.383567668959937080e+01,-2.453227200228809934e+01,-7.374723573692516077e+00
-1.137863770642894146e+01,-1.099887763775809546e+01,-1.831222556284496505e+01,-2.459462391231704004e+01,-1.473813825265112776e+01,-1.083525024946139403e+01,2.392679895532167191e-13,-1.719284522359249578e+01,-2.650419144704821051e+01,-1.652762840189738469e+01
-1.721261765744020877e+01,-1.060326505857649337e+01,-1.152102905941357669e+01,-2.063691870084354818e+01,-1.382340229481734895e+01,-3.884989598132603561e+01,2.392679895532167191e-13,-9.991330335285146802e+00,-2.747585793220638095e+01,-8.850280192404294866e+00
-9.415443876729289840e+00,-2.114131413465281994e+01,-2.311344030454254295e+01,-9.409578869579330984e+00,-1.470378546239366102e+01,-3.791702817449736074e+01,2.392679895532167191e-13,-1.717868289200971432e+01,-2.434723971599374437e+01,-8.048219778206865627e+00
-1.309534507895109101e+01,-2.000704091021686182e+01,-2.536878625655254282e+01,-1.387111032212872530e+01,-1.346644941467498846e+01,-4.829867998238202631e+01,2.392679895532167191e-13,-1.523553904131823522e+01,-2.414079007162343871e+01,-1.715563722407296154e+01
-1.633358367455685567e+01,-1.453922662127295773e+01,-2.274127179219997430e+01,-1.282422994071808198e+01,-1.064201459519895465e+01,-2.550205718793435139e+01,2.392679895532167191e-13,-1.350914789144595751e+01,-2.110190928729572946e+01,-1.167124861040234585e+01
-6.358340733464988404e+00,-8.092301494719116306e+00,-2.012673670513327551e+01,-2.061433163886751530e+01,-2.792463354170595657e+00,-3.230219558826676263e+01,2.392679895532167191e-13,-2.623044116592090447e+01,-2.403511672487768180e+01,-1.428184066849984113e+01
-1.882328324534873332e+01,-9.057139864463678691e+00,-2.472379913928940454e+01,-1.000640944676892907e+01,-8.173309050235369355e+00,-1.687176413456410629e+01,2.392679895532167191e-13,-1.096230722999868057e+01,-1.645630006082525298e+01,-1.154304229300733375e+01
-1.600736098947674435e+01,-8.420087335522582705e+00,-2.530168541102297297e+01,-1.507211737476414193e+01,-1.534887079719743319e+01,-3.409924433493715412e+01,2.392679895532167191e-13,-1.221375266199769527e+01,-2.317896917403293244e+01,-1.069607222190875362e+01
-2.161661819268896778e+01,-1.590916282952285776e+01,-2.263901005908576991e+01,-1.990347112908310834e+01,-1.738979327601638047e+01,-1.021353875919499465e+01,2.392679895532167191e-13,-1.692230981795318812e+01,-2.915251900554575926e+01,-1.160455634744972109e+01
