Chris, Ethan, Gregor, Hondson, Ilyas, Kevin, Lenny, Mark, Sangho, Sarah
-1.097259415267870608e+01,-1.410731778810643355e+01,-8.607518539124164647e+00,-1.428458946875534075e+01,-1.445618990463047204e+01,-2.097045500465857870e+01,0.000000000000000000e+00,-1.520835066952130177e+01,-8.024997623588260964e+00,-1.073862637411540177e+01
-1.159147329675540661e+01,-1.098082957069525634e+01,-4.738614246617475878e+00,-1.493381145420097056e+01,-1.236207122986287565e+01,-1.893368628782190655e+01,0.000000000000000000e+00,-1.420010041274525925e+01,-1.428777936139679916e+01,-9.205215922641750481e+00
-1.335334437926750617e+01,-8.462445928161942632e+00,1.169176717518064068e+00,-1.417377604461509044e+01,-1.613269205564274245e+01,-1.960548595851935971e+01,0.000000000000000000e+00,-1.069814128984978119e+01,-9.345091882271546524e+00,-1.344900688288301893e+01
-1.177622766423339229e+01,-1.356167929680525575e+01,-2.599047691070742738e-01,-1.490211418386084752e+01,-1.138518729346442093e+01,-1.461992806675434764e+01,0.000000000000000000e+00,-1.381223819471155778e+01,-9.608810636239981662e+00,-1.206678884041265221e+01
-1.408907239238314268e+01,-9.983354744223305488e+00,-3.363885074871153957e+00,-1.592940035842087099e+01,-1.332974561099628552e+01,-1.762213246100993658e+01,0.000000000000000000e+00,-1.192997707576937572e+01,-1.050685006230239615e+01,-1.505199685129663756e+01
-1.101750440219476523e+01,-1.359927615819879776e+01,-1.618440115874929086e+00,-1.502763639817321639e+01,-1.579194145967402285e+01,-1.516258875564195385e+01,0.000000000000000000e+00,-1.382013581470826225e+01,-1.233577231235429750e+01,-1.310094549521515006e+01
-8.347301394506763117e+00,-1.288985794413126484e+01,-5.517534516165645719e+00,-1.544163892580478148e+01,-1.220205108509819603e+01,-1.722874000214425294e+01,0.000000000000000000e+00,-1.449224328051683841e+01,-8.818794173683613735e+00,-1.144859100486631931e+01
-1.246556535979377500e+01,-1.590560319643310017e+01,-6.584729685628887275e+00,-1.551317919777125454e+01,-1.251302048578781800e+01,-1.403746512797981083e+01,0.000000000000000000e+00,-1.451957422555583399e+01,-6.259257145815970702e+00,-1.415473346146978706e+01
-1.739142947130306993e+01,-1.323398395784233372e+01,-7.963723487289303016e+00,-1.587592348382001717e+01,-1.055842365407335670e+01,-3.251683165099682782e+01,0.000000000000000000e+00,-1.310912825362865419e+01,-6.578989346508302027e+00,-1.341399021103023870e+01
-1.661183722964920051e+01,-1.926209816278888098e+01,-1.124855123302682536e+01,-1.513639500995003218e+01,-1.105434953073280901e+01,-2.961486729451222288e+01,0.000000000000000000e+00,-1.468608136791795893e+01,-5.993077019597151001e+00,-1.109251358445106383e+01
